Gene_ID,WT_0_01,WT_0_02,CP_0_04,CP_0_05,WT_05_07,WT_05_08,CP_05_11,CP_05_12,WT_1_13,WT_1_14,CP_1_16,CP_1_17,WT_2_20,CP_2_22,CP_2_23,WT_2_25,WT_4_16,CP_4_28
clpP,44542,38540,32395,31589,48705,42548,70152,73435,29071,25499,20647,25788,30334,20027,22620,28858,12190,37081
SPD_0651,5828,5114,3835,3567,5215,5687,8049,5967,4123,4052,3143,3919,3814,4547,4268,5765,2820,8458
livJ,25959,21950,14481,13706,40360,34882,40486,44392,24509,20824,15635,18949,20315,20388,19781,17252,7531,28999
livH,5941,5190,2921,2808,10794,8385,11249,16073,7162,6019,5371,6075,6060,5776,6251,4826,2328,7745
livM,7236,6182,3465,3311,13993,11298,15369,21398,8910,7332,7094,7941,7999,6695,7261,5081,2466,7015
livG,7654,6627,3766,3810,16585,13777,19677,22650,10000,8794,8666,10158,9444,6855,8252,5079,2277,6217
livF,8283,6920,4376,4164,17940,15027,22068,23585,11622,10238,9715,11516,10151,8544,9315,5052,2266,6759
SPD_0657,1794,1511,877,937,8767,7849,8860,8099,4736,4465,3674,4547,4721,3378,3451,2907,1459,3069
prfB,40691,36125,24219,24322,35599,29065,32554,40563,23388,18270,10131,12425,23545,15634,17515,27624,12574,39779
ftsE,29431,27515,18394,18576,25804,21037,24664,28717,15782,13129,7950,9885,15055,10358,10814,17925,8221,23947
ftsX,58757,50658,37050,35617,50675,45296,53168,53295,33325,29580,17837,22072,31104,19536,20246,32701,14871,39478
exp5,24827,22298,10101,10249,40139,33087,28295,41094,14458,12480,9871,12776,10147,7038,8282,5198,2722,7331
SPD_0662,1921,1814,1009,1023,931,808,440,578,539,521,248,285,710,404,452,558,263,619
SPD_0663,42712,39850,27811,27842,26794,22881,32048,35707,18006,15842,10365,12670,15118,12938,13119,15312,6856,19998
metK,46320,45109,25446,26614,48129,37524,55602,78247,25147,20300,19255,21963,20734,20202,21693,16070,7863,25735
pyrDA,30842,27198,25105,25324,131308,102724,168043,224533,66446,55387,59055,69808,64070,57932,64755,31840,14350,51688
holA,45569,38535,40617,39260,163044,139249,222620,247252,88449,78375,84258,103616,84494,79614,75072,34847,15123,53261
sodA,76452,70169,77326,79265,238260,199944,273907,308375,85814,69141,50792,60934,80986,43870,52621,97370,39108,104871
SPD_0668,5267,4492,3363,3216,5701,5308,7452,6770,5149,4725,3342,3985,4242,4323,3775,4682,2034,5367
